Ano,Natureza,Via,TRL,Projeto,Instituição,Setor,Segmento,Receita,Coordenador,Unidade,Cidade,Região,Bolsas de Graduação,Bolsas de Mestrado,Bolsas de Doutorado,Bolsas de Pesquisadores,Bolsas de Coordenador,Bolsas de Nível Médio/Aprendiz,Bolsas de Professores,Total de Bolsas,Vigência,Unnamed: 22,Vigente,SEI,ABA_ORIGEM,Unnamed: 1,Unnamed: 2,mood,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,F,IAUPE %,IIT,UNIDADE
2020.0,PD&I,IAUPE,0.0,Acionamento Remoto do Sistema para Avanço de Ferramenta da Root Grinder,Ace Schmersal Eletroeletrônica Industrial Ltda.,Privado,Indústria de Eletrônicos,13986.51,Rogério Pontes de Araújo,POLI,Boituva - SP,Externo,,,,,1.0,,,1.0,2020-01-08,2020-03-08 00:00:00,Não Vigente,0040610072.000013/2023-76,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.0,PD&I,IAUPE,0.0,Projeto 2: Análise da vida últil de modems ópticos submetidos a surtos de alta tensão com e sem a proteção de dispositivo de proteção contra surtos.,Clamper Indústria e Comércio S.A,Privado,Indústria de Eletrônicos,99775.0,Gustavo Oliveira Cavalcanti,,Lagoa Santa - MG,Externo,1.0,3.0,,2.0,1.0,,,7.0,2020-05-01,2021-05-31 00:00:00,Não Vigente,0040610072.000037/2023-25,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.0,PD&I,IAUPE,0.0,Qualycril – Flowboard Online,Qualycril Soluções Para a Construção Civil Ltda.,Privado,Indústria de Materiais de Construção,30285.71,Gilberto Dênis de Souza Leite Filho,POLI,Jandira - SP,Externo,1.0,,,,1.0,,,2.0,2020-05-04,2021-05-04 00:00:00,Não Vigente,0040610072.000024/2023-56,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.0,PD&I,IAUPE,0.0,Melhoria da Qualidade e Gestão de Dívida Técnica em Projetos de Software: Potencializando a Colaboração entre Indústria e Academia,COMEIA - Centro Multidisciplinar de Estudos em Informática do Agreste Ltda.,Privado,Tecnologia da Informação,18148.15,Wylliams Barbosa Santos,POLI,Caruaru - PE,Agreste Central,,2.0,,,1.0,,,3.0,2020-08-03,2021-02-03 00:00:00,Não Vigente,0040610072.000015/2023-65,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.0,PD&I,IAUPE,0.0,Secagem de Minérios usando Energia Solar Concentrada,FERNANDO BERLINCK D'UTRA VAZ,Privado,Pesquisa e Desenvolvimento,10737.5,Diego José Rátiva Millán,POLI,Recife - PE,RMR - Núcleo Centro,,,,1.0,1.0,,,2.0,2020-09-01,2020-11-01 00:00:00,Não Vigente,0040610072.000018/2023-07,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.0,PD&I,IAUPE,0.0,Sistema de análise e mineração de sentenças,Neurolaw Desenvolvimento de Tecnologia Ltda.,Privado,Tecnologia da Informação,60000.0,Bruno José Torres Fernandes,POLI,Recife - PE,RMR - Núcleo Centro,1.0,,2.0,1.0,1.0,,,5.0,2020-10-15,2021-01-15 00:00:00,Não Vigente,0040610072.000009/2023-16,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.0,PD&I,IAUPE,0.0,Desenvolvimento tecnológico e inovação das vedações verticais de edificação de múltiplos pavimentos,RIO AVE ALAMEDA CENTER CONSTRUCOES SPE LTDA,Privado,Construção Civil,18915.0,Alberto Casado Lordsleem Júnior,POLI,Recife - PE,RMR - Núcleo Centro,,,,,1.0,,,1.0,2020-11-04,2021-04-04 00:00:00,Não Vigente,0040610072.000025/2023-09,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.0,PD&I,IAUPE,0.0,"Fase 1 - Projeto ""a"": Bodymaker Smart System",Ball Beverage Can South America S.A.,Privado,Indústria de Embalagens,158500.0,João Fausto Lorenzato de Oliveira,POLI,Cabo de Santo Agostinho - PE,RMR - Núcleo Oeste/Sul,1.0,,1.0,3.0,1.0,,,6.0,2020-12-18,2022-12-18 00:00:00,Não Vigente,0040608325.000043/2022-31,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.0,PD&I,IAUPE,0.0,"Fase 1 - Projeto ""b"" Plataforma aberta de inteligência de manufatura",Ball Beverage Can South America S.A.,Privado,Indústria de Embalagens,301950.0,Gilberto Dênis de Souza Leite Filho,POLI,Cabo de Santo Agostinho - PE,RMR - Núcleo Oeste/Sul,2.0,1.0,,3.0,1.0,,,7.0,2020-12-18,2022-12-18 00:00:00,Não Vigente,0040608325.000043/2022-31,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,,,,0.0,João Fausto Lorenzato de Oliveira,POLI,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.0,PD&I,IAUPE,0.0,Campari - Plataforma aberta de inteligência de manufatura,Campari do Brasil Ltda.,Privado,Indústria de Bebidas Alcoólicas,200000.0,Gilberto Dênis de Souza Leite Filho,POLI,Cabo de Santo Agostinho - PE,RMR - Núcleo Oeste/Sul,,,1.0,7.0,2.0,,,10.0,2020-12-18,2021-06-01 00:00:00,Não Vigente,0040610072.000004/2023-85,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.0,RESITEC,IAUPE,0.0,Inteligência Artificial,Fundação para Inovações Tecnológicas - FITec,Público,Pesquisa e Desenvolvimento,100000.0,Paulo Hugo Espírito Santo Lima,POLI,Recife - PE,RMR - Núcleo Centro,,,,,,,,0.0,,,Não Vigente,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
