Processo,Data de deposito,Nome da patente ,Autores,Cliente,Campus UPE,Depositantes,Código ,Status INPI,Territorio,Ultima atualização,Checagem,
BR 10 2023 017441 8 A2,29/08/2023,COMPOSTO BACTERICIDA PREPARADO EM GEL ENRIQUECIDO COM NANOPARTÍCULAS DE PRATA DE ORIGEM MICROBIANA,KETHYLEN BARBARA BARBOSA CARDOSO (UFPE) / ANA LUCIA FIGUEIREDO PORTO (UFRPE) / ROMERO MARCOS PEDROSA BRANDAO COSTA (UPE) / JUANIZE MATIAS DA SILVA BATISTA (UFRPE) / THIAGO PAJEU NASCIMENTO (UFPI) / MICHELINE THAIS DOS SANTOS (UFRPE) / MARLLYN MARQUES DA SILVA / BEATE SAEGESSER SANTOS (UFPE) / MARQUES LEONEL RODRIGUES DA SILVA,UFRPE,ICB,"UPE, UFPE, UFRPE, UFPI",3.1,PEDIDO DE PATENTE OU DE CERTIFICADO DE ADIÇÃO DE INVENÇÃO PUBLICADO,BRASIL,06/03/2025,18/12/2025,NÃO INFORMADO
BR 10 2023 016980 5 A2,23/08/2023,BIOFILME CICATRIZANTE FORMULADO À BASE DE UM BLEND POLISSACARÍDICO ASSOCIADO À NANOPARTÍCULAS DE PRATA COM HIDROLISADO DE COLÁGENO,RAQUEL PEDROSA BEZERRA / KETHYLEN BARBARA BARBOSA CARDOSO (UFPE) / ANA LUCIA FIGUEIREDO PORTO (UFRPE) / ROMERO MARCOS PEDROSA BRANDAO  COSTA  (UPE) / VIVIANNE FERREIRA ARAUJO BRANDAO / JUANIZE MATIAS DA SILVA BATISTA (UFRPE) / THIAGO PAJEU NASCIMENTO (UFPI) / DANIELA DE ARAUJO VIANA MARQUES (UPE) / ROMUALDO BRANDAO COSTA JUNIOR (UFROE) / KETURA RHAMMA CAVALCANTE FERREIRA (UFPE) / RAPHAEL LUIZ ANDRADE SILVA (UFRPE) / MARIA ERCILIA DE LIMA BARREIRO,UFPE,ICB,"UPE, UFPE, UFRPE, UFPI",3.1,PEDIDO DE PATENTE OU DE CERTIFICADO DE ADIÇÃO DE INVENÇÃO PUBLICADO,BRASIL,06/03/2025,18/12/2025,NÃO INFORMADO
BR 20 2023 016925 8,23/08/2023,EQUIPAMENTO DE ALARME E MONITORAMENTO DO NÍVEL DE RUÍDO EM SETORES DE UNIDADES HOSPITALARES,MARCO AURÉLIO DE VALOIS CORREIA JUNIOR (UPE),UPE,POLI,UPE,15.21,"DOCUMENTAÇÃO ARQUIVADA E DEPÓSITO NÃO EFETUADO TENDO EM VISTA FALTA DE CUMPRIMENTO DE EXIGÊNCIA FORMAL, CONFORME ART. 21 DA LEI 9279/96 E ART. 5º §3º DA PORTARIA INPI/DIRPA 14/2024",BRASIL,05/12/2023,18/12/2025,NÃO INFORMADO
BR 10 2023 016741 1,21/08/2023,SÍNTESE DE UM CURATIVO BIOADESIVO COM EFICÁCIA ANTIBACTERIANA SOBRE O STREPTOCCOCUS MUTANS,"MARLENY ELIZABETH MÁRQUEZ DE MARTINEZ GERBI (UPE), ALISON MENDES SILVA DE MELO (UPE), SEVERINO ALVES JUNIOR (UFPE), ELOIZA LEONARDO DE MELO (UPE), JÉSSICA MEIRINHOS MIRANDA (UPE), CLÁUDIO PAULO PEREIRA DE ASSIS (UPE), CAIO DE LIMA PIRES (UPE), SUZANE IVILA SANTOS DA ROCHA (UPE), NATHALIA SEIMI DEAMA (UPE)",UPE,FOP,"UPE, MARLENY GERBI",15.21,"DOCUMENTAÇÃO ARQUIVADA E DEPÓSITO NÃO EFETUADO TENDO EM VISTA FALTA DE CUMPRIMENTO DE EXIGÊNCIA FORMAL, CONFORME ART. 21 DA LEI 9279/96 E ART. 5º §3º DA PORTARIA INPI/DIRPA 14/2024",BRASIL,28/11/2023,18/12/2025,NÃO INFORMADO
BR 10 2023 016503 6,16/08/2023,NÃO INFORMADO,NÃO INFORMADO,UPE,POLI,MK DIGITAL LTDA / FUNDAÇÃO UNIVERSIDADE DE PERNAMBUCO - UPE / GILBERTO DENIS DE SOUZA LEITE FILHO / JOÃO FAUSTO LORENZATO DE OLIVEIRA (BR/PE) / ALDONSO MARTINS DE OLIVEIRA JUNIOR ) / ALEXANDRE MAGNO ANDRADE MACIEL / DIEGO JOSÉ RÁTIVA MILLÁN,15.21,"DOCUMENTAÇÃO ARQUIVADA E DEPÓSITO NÃO EFETUADO TENDO EM VISTA FALTA DE CUMPRIMENTO DE EXIGÊNCIA FORMAL, CONFORME ART. 21 DA LEI 9279/96 E ART. 5º §3º DA PORTARIA INPI/DIRPA 14/2024",BRASIL,07/05/2024,18/12/2025,NÃO INFORMADO
BR 10 2023 012242 6 A2,20/06/2023,COMPOSIÇÃO À BASE DE EXTRATO AQUOSO DE MICROALGA PARA O TRATAMENTO DE LEISHMANIOSE E USOS,RAQUEL PEDROSA BEZERRA / ANA LUCIA FIGUEIREDO PORTO / ROMERO MARCOS PEDROSA BRANDAO COSTA / DANIELA DE ARAUJO VIANA MARQUES / ALEXSANDRA FRAZAO DE ANDRADE / DAYANE RODRIGUES DA SILVA / MILLENA PATRICIO DO NASCIMENTO FERREIRA / SABRINA SWAN SOUZA DA SILVA / MILENA DE PAIVA CAVALCANTI / MARIA GABRIELLA NUNES DE MELO / JADY MOREIRA DA SILVA / VIRGINIA MARIA BARROS DE LORENA,UPE,ICB,UPE E UFRPE,3.1,PEDIDO DE PATENTE OU DE CERTIFICADO DE ADIÇÃO DE INVENÇÃO PUBLICADO,BRASIL,31/12/2024,18/12/2025,*
BR 10 2023 004813 7,15/03/2023,NÃO INFORMADO,NÃO INFORMADO,UPE,NÃO INFORMADO,NÃO INFORMADO,15.21,PEDIDO COM NUMERAÇÃO ANULADA TENDO EM VISTA FALTA DE CUMPRIMENTO DE EXIGÊNCIA FORMAL,BRASIL,20/06/2023,18/12/2025,NÃO INFORMADO
BR 10 2022 026983 1 A2,19/12/2022,PROCESSO DE ELABORAÇÃO E USO DE BIORREATOR SUSTENTÁVEL PARA FERMENTAÇÃO EM ESTADO SÓLIDO,ROMERO MARCOS PEDROSA BRANDÃO COSTA (UPE) / RAQUEL PEDROSA BEZERRA (UFRPE) / ANA LUCIA FIGUEIREDO PORTO (UFRPE) / KETHYLEN BARBARA BARBOSA CARDOSO (UFPE) / JUANIZE MATIAS DA SILVA BATISTA (UFRPE)/ NAIRANE DA SILVA ROSA LEAO (UFRN) / LUAN NILTON DA SILVA / KETURA RHAMMA CAVALCANTE FERREIRA (UFPE) / THIAGO PAJEU NASCIMENTO (UFPI) / NILSON FERNANDO BARBOSA DA SILVA,UFRPE,ICB,UPE E UFRPE,3.1,PEDIDO DE PATENTE OU DE CERTIFICADO DE ADIÇÃO DE INVENÇÃO PUBLICADO,BRASIL,09/07/2024,18/12/2025,NÃO INFORMADO
BR 10 2022 022600 8 A2,07/11/2022,PROCESSO DE EXTRAÇÃO POR SISTEMA DE DUAS FASES AQUOSAS DE ALBUMINA,ANA LÚCIA FIGUEIREDO PORTO(UFRPE) / ELIVELTON VERISSIMO DE SOUZA (UFPE) / THIAGO PAJEÚ NASCIMENTO (UPE) / RENATA VITÓRIA DA SILVA SOBRAL / KETHYLEN BARBARA BARBOSA CARDOSO (UFPE) / JUANIZE MATIAS DA SILVA BATISTA (UFRPE) / ROMERO MARCOS PEDROSA BRANDÃO COSTA (UPE) / ANA CRISTINA LIMA LEITE (UFPE),UFRPE,ICB,"UPE, UFRPE, UFPI, UFPE",3.1,PEDIDO DE PATENTE OU DE CERTIFICADO DE ADIÇÃO DE INVENÇÃO PUBLICADO,BRASIL,21/05/2024,18/12/2025,NÃO INFORMADO
BR 10 2021 024121 7 A2,30/11/2021,ESPONJA DE GELATINA HEMOSTÁTICA REVESTIDA COM PRÓPOLIS VERDE COM ATIVIDADE ANTIOXIDANTE E ANTIBACTERIANA,KAROLINE GOMES DA SILVEIRA (UPE) / RICARDO JOSE DE HOLANDA VASCONCELLOS (UPE) / EMANUEL DIAS DE OLIVEIRA E SILVA(UPE),UPE,FOP,UPE,11.1,ARQUIVAMENTO DEFINITIVO - ARTIGO 33 DA LEI DA PROPRIEDADE INDUSTRIAL (LPI),BRASIL,25/02/2025,18/12/2025,NÃO INFORMADO
BR 10 2021 022189 5 A2,05/11/2021,PROCESSO SIMULTÂNEO DE EXTRAÇÃO MECÂNICA E FILTRAÇÃO DE PROTEÍNAS DO EXOCARPO E TEGUMENTO DE SEMENTES DE PRITCHARDIA PACÍFICA,ANA LÚCIA FIGUEIREDO PORTO (UFRPE) / RAQUEL PEDROSA BEZERRA (UFRPE) / ROMERO MARCOS PEDROSA BRANDAO COSTA (UPE) / KETHYLEN BARBARA BARBOSA CARDOSO (UFPE) / JUANIZE MATIAS DA SILVA BATISTA (UFRPE) / THIAGO PAJEU NASCIMENTO (UFPI) / ANNA GABRIELLY DUARTE NEVES,UFRPE,ICB,"UFPE, UPE, UFRPE",3.1,PEDIDO DE PATENTE OU DE CERTIFICADO DE ADIÇÃO DE INVENÇÃO PUBLICADO,BRASIL,23/05/2023,18/12/2025,NÃO INFORMADO
BR 10 2021 020801 5 A2,17/10/2021,TOMÓGRAFO ÓPTICO E PROCESSO DE IMAGEAMENTO DE DOCUMENTOS FÍSICOS FECHADOS,JOSÉ ROGÉRIO DE OLIVEIRA CAMPOS (UFPE) / EDGAR VITOR DE ALBUQUERQUE SANTOS (UFPE) / ANDERSON MONTEIRO AMARAL (UFPE) / LEONARDO DE SOUZA MENEZES (UFPE) / WELLINGTON PINHEIRO DOS SANTOS (UFPE)  / ANTÓNIO JOSÉ ESTÊVÃO GRANDE CANDEIAS (UNIVERSIDADE DE ÉVORA) / RICARDO EMMANUEL DE SOUZA (UFPE),UFPE,UFPE,"UFPE, UPE, UNIVERSIDADE DE ÉVORA",3.1,PEDIDO DE PATENTE OU DE CERTIFICADO DE ADIÇÃO DE INVENÇÃO PUBLICADO,BRASIL,25/04/2023,18/12/2025,NÃO INFORMADO
BR 20 2021 017879 0 U2,09/09/2021,SISTEMA DE ACIONAMENTO REMOTO PARA MOVIMENTO DE TRANSLAÇÃO DO REBOLO ABRASIVO UTILIZADO NA ROOT END GRINDER TYPE RG 1600-2300B,ROGÉRIO PONTES DE ARAÚJO (UPE) / GILBERTO DÊNIS DE SOUZA LEITE FILHO (UPE) / VICTOR HUGO DE BARROS CABRA \(UPE)L,ROGÉRIO PONTES,POLI,ROGÉRIO PONTES DE ARAÚJO  / GILBERTO DÊNIS DE SOUZA LEITE FILHO / VICTOR HUGO DE BARROS CABRAL / FUNDAÇÃO UNIVERSIDADE DE PERNAMBUCO - UPE / MEKATRONIK INDÚSTRIA E COMÉRCIO DE AUTOMAÇÃO LTDA,3.1,PEDIDO DE PATENTE OU DE CERTIFICADO DE ADIÇÃO DE INVENÇÃO PUBLICADO,BRASIL,NÃO INFORMADO,18/12/2025,NÃO INFORMADO
BR 20 2021 014624 4 U2,26/07/2021,PLACA DE COLETOR SOLAR TERMICO COM SISTEMA LENTICULAR,LUIS ARTURO GOMEZ MALAGON (UPE) / CAIO VINICIUS PINHEIRO VITAL (UPE) / DIEGO J RATIVA MILLAN (UPE) / RENATO EVANGELISTA DE ARAUJO (UPE),DIEGO RATIVA,POLI,"DIEGO RATIVA, UPE",11.1,ARQUIVAMENTO DEFINITIVO - ARTIGO 33 DA LEI DA PROPRIEDADE INDUSTRIAL (LPI),BRASIL,22/10/2024,18/12/2025,NÃO INFORMADO
BR 10 2021 008812 5 A2,06/05/2021,DISPOSITIVO PARA REGISTRO DAS RELAÇÕES MAXILOMANDIBULARES EM ARCOS EDÊNTULOS,ADRIANA DA FONTE PORTO CARREIRO (UFRN) / ANA LARISSE CARNEIRO PEREIRA (UFPB) / RODRIGO FALCÃO CARVALHO PORTO DE FREITAS (UFRN) / SANDRA LÚCIA DANTAS DE MORAES (UPE) / ANNE KALINE CLAUDINO RIBEIRO (UFRN),UFRN,FOP,UPE E UFRN,3.1,PEDIDO DE PATENTE OU DE CERTIFICADO DE ADIÇÃO DE INVENÇÃO PUBLICADO,BRASIL,07/06/2022,18/12/2025,NÃO INFORMADO
BR 10 2020 024026 9 A2,25/11/2020,DISPOSITIVO PARA REGISTRO DAS RELAÇÕES MAXILOMANDIBULARES EM ARCOS EDÊNTULOS,ADRIANA DA FONTE PORTO CARREIRO (UFRN) / ANA LARISSE CARNEIRO PEREIRA (UFPB) / RODRIGO FALCÃO CARVALHO PORTO DE FREITAS (UFRN) / SANDRA LÚCIA DANTAS DE MORAES (UPE) / ANNE KALINE CLAUDINO RIBEIRO (UFRN),UFRN,FOP,UPE E UFRN,3.6,PUBLICAÇÃO DO PEDIDO ARQUIVADO DEFINITIVAMENTE,BRASIL,07/06/2022,18/12/2025,NÃO INFORMADO
BR 10 2020 022866 8 A2,10/11/2020,EXTRATO ORGÂNICO OBTIDO A PARTIR DE MICRORGANISMOS FOTOSSINTETIZANTES COM POTENCIAL CICATRIZANTE E ANTIMICROBIANO,ANA LÚCIA FIGUEIREDO PORTO (UFRPE) / RAQUEL PEDROSA BEZERRA (UFRPE) / REBECA GONCALVES DE MELO (UFPE) / ROMERO MARCOS PEDROSA BRANDAO COSTA (UPE) / ALEXSANDRA FRAZÃO DE ANDRADE (UFRPE) / MILLENA PATRÍCIO DO NASCIMENTO FERREIRA (UFRPE) / JORGE VINÍCIUS FERNANDES LIMA CAVALCANTI (UFPE),UFRPE,ICB,"UPE, UFPE, E UFRPE",3.1,PEDIDO DE PATENTE OU DE CERTIFICADO DE ADIÇÃO DE INVENÇÃO PUBLICADO,BRASIL,24/05/2022,18/12/2025,NÃO INFORMADO
BR 10 2020 022860 9 A2,10/11/2020,TRIPANOCIDA NATURAL E ATÓXICO PROVENIENTE DA BIOMASSA DE MICRORGANISMO FOTOSSINTETIZANTE,DANIELA DE ARAÚJO VIANA MARQUES (UPE) / JOSÉ NOÉ DA SILVA JÚNIOR (UFPE) / ANA CARLA DA SILVA (UFRPE) / RAQUEL PEDROSA BEZERRA (UFRPE) / VIRGINIA MARIA BARROS DE LORENA (UFPE) / SILVANA DE FÁTIMA FERREIRA DA SILVA CAIRES (UFPE) / YANARA ALESSANDRA SANTANA MOURA (UFRPE) / VIVIANNE LAYS RIBEIRO CAVALCANTI (UFRPE) / MARIA RAFAELE OLIVEIRA BEZERRA DA SILVA (UPE0 / KAMILA CÁSSIA DOS SANTOS OLIVEIRA / ANA LÚCIA FIGUEIREDO PORTO (UFRPE),UPE,ICB,UPE,11.1,ARQUIVAMENTO DEFINITIVO - ARTIGO 33 DA LEI DA PROPRIEDADE INDUSTRIAL (LPI),BRASIL,04/06/2024,18/12/2025,NÃO INFORMADO
BR 10 2020 022748 3,09/11/2020,SISTEMA DE LIBERAÇÃO CONTROLADA DE FÁRMACO PARA AÇÃO ANTI-INFLAMATÓRIA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,UPE,15.21,"DOCUMENTAÇÃO ARQUIVADA E DEPÓSITO NÃO EFETUADO TENDO EM VISTA FALTA DE CUMPRIMENTO DE EXIGÊNCIA FORMAL, CONFORME ART. 21 DA LEI 9279/96 E ART. 5º §3º DA PORTARIA INPI/DIRPA 14/2024",BRASIL,20/04/2021,18/12/2025,NÃO INFORMADO
BR 13 2020 017700 0 E2,31/08/2020,FORMULAÇÃO TÓPICA CICATRIZANTE À BASE DE BIOATIVOS DE MICROALGA,ANA LUCIA FIGUEIREDO PORTO (UFRPE) / RAQUEL PEDROSA BEZERRA  (UFRPE) / ALEXSANDRA FRAZAO DE ANDRADE (UFPB) / REBECA GONCALVES DE MELO (UFPE) / POLYANNA NUNES HERCULANO (UFRPE) / VALDEMIRO AMARO DA SILVA JUNIOR / MARIA HELENA MADRUGA LIMA RIBEIRO (UFPE) / JOSE LUIZ DE LIMA FILHO (UFPE) / MICALEYDE SOARES DO EGITO / WILLIANA TORRES VILELA / ROSALI MARIA FERREIRA DA SILVA / PEDRO JOSE ROLIM NETO (UFPE)/ ROMERO MARCOS PEDROSA BRANDAO COSTA (UPE) / DANIELA DE ARAUJO VIANA MARQUES (UPE),UFRPE,ICB,UPE,4.3,DESARQUIVAMENTO - ART. 33 PARÁGRAFO ÚNICO DA LPI,BRASIL,05/12/2023,18/12/2025,NÃO INFORMADO
