Ano,Natureza,Via,TRL,Projeto,Instituição,Setor,Segmento,Receita,Coordenador,Unidade,Cidade,Região,Bolsas de Graduação,Bolsas de Mestrado,Bolsas de Doutorado,Bolsas de Pesquisadores,Bolsas de Coordenador,Bolsas de Nível Médio/Aprendiz,Bolsas de Professores,Total de Bolsas,Vigência,,Vigente,SEI
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,COOPAIBA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,ICOFORT,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NIAGRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,RIO SOL,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,GRANDVALLE,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,TERMOTÉCNICA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,GYPSUM,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,MODERNO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,BQMIL - BRASIL QUÍMICA E MINERAÇÃO INDUSTRIAL LTDA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,COCO & CIA - INDÚSTRIA E COMÉRCIO MENDONÇA BARRETO LTDA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,DOIS A ENGENHARIA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,GUARARAPES CONFECÇÕES S/A,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,MINERAÇÃO CUNHA COMÉRCIO LTDA - ÁGUA MINERAL CRISTALINA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,PRODUMAR - EXPORTADORA DE PRODUTOS DO MAR EIRELI,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,3 CORAÇÕES ALIMENTOS S.A. (UNIDADE NATAL/RN),NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,CERVEJARIA FEMME,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,COTEMINAS S.A.,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,ESSANTO MÓVEIS,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,SPAZIO MOBILE (SJP),NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,CACHAÇARIA MATUTA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,CACHAÇARIA TRIUNFO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NATURAL NUTS,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,INCOMEL MÓVEIS,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
2021,PD&I,IAUPE,NÃO INFORMADO,SISTEMA DE ANÁLISE E MINERAÇÃO DE SENTENÇAS TRABALHISTAS,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 60.000,00",BRUNO JOSÉ TORRES FERNANDES,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,1,NÃO INFORMADO,2,2,1,NÃO INFORMADO,NÃO INFORMADO,6,18/01/2021,18/04/2021,NÃO VIGENTE,0040610072.000009/2023-16
2021,PD&I,IAUPE,NÃO INFORMADO,SISTEMA DE INSPEÇÃO 2 E 3D AUTOMÁTICO PARA DETECÇÃO DE DEFEITOS NAS COBERTURAS DE CORREIAS TRANSPORTADORAS,PASSARELLI SERVIÇOS E TECNOLOGIA DA INFORMAÇÃO LTDA,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 14.000,00",BRUNO JOSÉ TORRES FERNANDES,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,2,NÃO INFORMADO,1,1,1,NÃO INFORMADO,NÃO INFORMADO,5,18/02/2021,18/08/2021,NÃO VIGENTE,0040610072.000022/2023-67
2021,PD&I,IAUPE,NÃO INFORMADO,ARRANJO TÉCNICO PARA AUMENTO DA CONFIABILIDADE E SEGURANÇA ELÉTRICA APLICANDO ARMAZENAMENTO DE ENERGIA POR BATERIAS E SISTEMAS FOTOVOLTAICOS AO SERVIÇO AUXILIAR DE SUBESTAÇÕES 230/500 KV,COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO - CHESF,PÚBLICO,SETOR DE ENERGIA,"R$ 3.743.708,26",MANOEL HENRIQUE DE NÓBREGA MARINHO,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,03/2021,08/2023,NÃO VIGENTE,0040610072.000032/2023-01
2021,PD&I,IAUPE,NÃO INFORMADO,DESENVOLVIMENTO DE UM SISTEMA DE ACOMPANHAMENTO DE PRODUÇÃO,"POWERPC COMÉRCIO 
DE EQUIPAMENTOS DE
INFORMÁTICA LTDA.",PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 246.455,00",JOÃO FAUSTO LORENZATO DE OLIVEIRA,POLI,BELO HORIZONTE - MG,EXTERNO,2,NÃO INFORMADO,NÃO INFORMADO,3,2,NÃO INFORMADO,NÃO INFORMADO,7,22/03/2021,22/09/2021,NÃO VIGENTE,0040610072.000023/2023-10
2021,PD&I,IAUPE,NÃO INFORMADO,SISTEMA INTELIGENTE PARA CONSTRUÇÃO DE CONTESTAÇÕES CÍVIS,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 60.000,00",BRUNO JOSÉ TORRES FERNANDES,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,1,NÃO INFORMADO,2,1,1,NÃO INFORMADO,NÃO INFORMADO,5,16/04/2021,16/07/2021,NÃO VIGENTE,0040610072.000009/2023-16
2021,PD&I,IAUPE,NÃO INFORMADO,AUTOMAÇÃO DE PROCESSOS EM AMBIENTES DE GÊMEOS DIGITAIS: PROCESSOS INTERNOS DAS ORGANIZAÇÕES,DIGITALLWORKERS TECNOLOGIA LTDA - DI2WIN,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 366.057,60",BYRON LEITE DANTAS BEZERRA,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,1,1,1,1,NÃO INFORMADO,NÃO INFORMADO,4,29/04/2021,29/04/2023,NÃO VIGENTE,0040610072.000017/2023-54
2021,PD&I,IAUPE,NÃO INFORMADO,CLINICLABS: GERENCIAMENTO DE TECHNICAL DEBT E DESENVOLVIMENTO DE UM MÓDULO INTELIGENTE PARA PREDIÇÃO DE DOENÇAS,COMEIA - CENTRO MULTIDISCIPLINAR DE ESTUDOS EM INFORMÁTICA DO AGRESTE LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 12.423,53",WYLLIAMS BARBOSA SANTOS,POLI,CARUARU - PE,AGRESTE CENTRAL,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,2,05/2021,06/2021,NÃO VIGENTE,0040610072.000016/2023-18
2021,PD&I,IAUPE,NÃO INFORMADO,DIAGNÓSTICO DE FALHAS EM TRANSFORMADORES DE CORRENTE,CENTRO DE GESTAO DE TECNOLOGIA E INOVACAO - CGTI,PÚBLICO,TECNOLOGIA DA INFORMAÇÃO,"R$ 9.375,00",GUSTAVO OLIVEIRA CAVALCANTI,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,2,14/06/2021,14/11/2021,NÃO VIGENTE,0040610072.000014/2023-11
2021,PD&I,IAUPE,NÃO INFORMADO,PLATAFORMA INTELIGENTE PARA ASSESSORIA JURÍDICA,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 60.000,00",BRUNO JOSÉ TORRES FERNANDES,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,1,NÃO INFORMADO,2,1,1,NÃO INFORMADO,NÃO INFORMADO,5,16/07/2021,16/10/2021,NÃO VIGENTE,0040610072.000009/2023-16
2021,PD&I,IAUPE,NÃO INFORMADO,DETECÇÃO DE LANDMARKS EM IMAGENS ORTODÔNTICAS,"VIZIOMED SUPORTE EM 
TECNOLOGIA E 
SOLUCOES 
INTELIGENTES LTDA",PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 17.000,00",SERGIO MURILO MACIEL FERNANDES,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,1,1,1,NÃO INFORMADO,NÃO INFORMADO,3,20/08/2021,20/12/2021,NÃO VIGENTE,0040610072.000020/2023-78
2021,PD&I,IAUPE,NÃO INFORMADO,ANÁLISE DA VIDA ÚTIL DE LÂMPADAS LED SUBMETIDAS A SURTOS ELÉTRICOS DE ALTA TENSÃO,CLAMPER INDÚSTRIA E COMÉRCIO S.A,PRIVADO,INDÚSTRIA DE ELETRÔNICOS,"R$ 97.875,00",GUSTAVO OLIVEIRA CAVALCANTI,NÃO INFORMADO,LAGOA SANTA - MG,EXTERNO,2,1,NÃO INFORMADO,2,1,NÃO INFORMADO,NÃO INFORMADO,6,30/09/2021,30/09/2022,NÃO VIGENTE,0040610072.000036/2023-81
2021,PD&I,IAUPE,NÃO INFORMADO,PLATAFORMA INTELIGENTE PARA ASSESSORIA JURÍDICA – 2.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 60.000,00",BRUNO JOSÉ TORRES FERNANDES,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,1,NÃO INFORMADO,2,1,1,NÃO INFORMADO,NÃO INFORMADO,5,16/10/2021,15/01/2022,NÃO VIGENTE,0040610072.000009/2023-16
2021,PD&I,IAUPE,NÃO INFORMADO,ROCA 4.0 - FASE 1: PLATAFORMA DE INTELIGÊNCIA DE MANUFATURA APLICADA À PRENSA SACMI E A RASTREABILIDADE DE PRODUTOS EM  PROCESSO,ROCA SANITÁRIOS BRASIL LTDA.,PRIVADO,INDÚSTRIA DE PRODUTOS SANITÁRIOS,"R$ 314.470,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,1,1,3,1,NÃO INFORMADO,NÃO INFORMADO,6,01/11/2021,01/11/2022,NÃO VIGENTE,0040610072.000002/2023-96
2021,PD&I,IAUPE,NÃO INFORMADO,SUB PROJETO Nº 2: AVALIAÇÃO DE SISTEMA NANOESTRUTURADO AMPARO® PARA TRATAMENTO DA COVID19,OF JOSEPH PB&T BRASIL LTDA.,PRIVADO,PESQUISA E DESENVOLVIMENTO,"R$ 40.706,39",PATRICIA MOURA,ICB,GOIANA - PE,MATA NORTE,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,01/11/2021,31/08/2022,NÃO VIGENTE,0040608325.000169/2022-13
2021,PD&I,IAUPE,NÃO INFORMADO,INDORAMA FIBRAS 4.0 - FASE 1: ANALYTICS E ESTIMAÇÃO ONLINE DE CARACTERÍSTICAS DA FIBRA,INDORAMA VENTURES FIBRAS BRASIL LTDA.,PRIVADO,INDÚSTRIA PETROQUÍMICA,"R$ 298.114,06",GILBERTO DÊNIS DE SOUZA LEITE FILHO,POLI,CABO DE SANTO AGOSTINHO - PE,RMR - NÚCLEO OESTE/SUL,1,1,2,5,2,NÃO INFORMADO,NÃO INFORMADO,11,23/11/2021,01/12/2023,NÃO VIGENTE,0040610072.000021/2023-12
2021,PD&I,IAUPE,NÃO INFORMADO,CAMPARI 4.0 - FASE 2: SISTEMA DE RASTREABILIDADE E ANALYTICS PARA PROCESSOS DE FORMULAÇÃO DE BEBIDAS,CAMPARI DO BRASIL LTDA.,PRIVADO,INDÚSTRIA DE BEBIDAS ALCOÓLICAS,"R$ 230.050,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,NÃO INFORMADO,CABO DE SANTO AGOSTINHO - PE,RMR - NÚCLEO OESTE/SUL,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,3,1,NÃO INFORMADO,NÃO INFORMADO,4,12/21,07/2022,NÃO VIGENTE,0040610072.000004/2023-85
2021,PD&I,IAUPE,NÃO INFORMADO,SOLDAGEM AUTÔNOMA POR INTELIGÊNCIA ARTIFICIAL,DENSO SISTEMAS TÉRMICOS DO BRASIL LTDA,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 300.000,00",ROGÉRIO PONTES DE ARAÚJO,NÃO INFORMADO,SANTA CRUZ DE MINAS - MG,EXTERNO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,3,4,NÃO INFORMADO,NÃO INFORMADO,7,12/2021,06/2022,NÃO VIGENTE,0040608325.000068/2022-34
2021,PD&I,IAUPE,5,RAVE - RECONHECIMENTO DE ATRIBUTOS DE VEICULARES A PARTIR DE IMAGENS DE CÂMERAS DE TRÂNSITO,PUMATRONIX EQUIPAMENTOS ELETRÔNICOS LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 150.000,00",ALEXANDRE MAGNO ANDRADE MACIEL,NÃO INFORMADO,CURITIBA - PR,EXTERNO,2,NÃO INFORMADO,3,4,2,NÃO INFORMADO,NÃO INFORMADO,11,12/2021,04/2022,NÃO VIGENTE,0040608325.000055/2022-65
2021,PD&I,IAUPE,NÃO INFORMADO,1ª ETAPA: DESENVOLVER SISTEMA DE SECAGEM DO BAGAÇO DE CANA-DE-AÇÚCAR EM SISTEMA DE COGERAÇÃO DE ENERGIA.,COMPANHIA ALCOOQUIMICA NACIONAL,PRIVADO,INDÚSTRIA ALCOOLQUÍMICA,"R$ 254.634,15",ROGÉRIO PONTES DE ARAÚJO,NÃO INFORMADO,VITÓRIA DE SANTO ANTÃO - PE,MATA SUL,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,4,2,NÃO INFORMADO,NÃO INFORMADO,6,07/12/2021,07/12/2023,NÃO VIGENTE,0040610072.000003/2022-50
2021,PD&I,IAUPE,NÃO INFORMADO,DESENVOLVER PLATAFORMA DE IDENTIFICAÇÃO DE PRAZOS TRABALHISTAS,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 60.000,00",BRUNO JOSÉ TORRES FERNANDES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,2,1,1,3,1,NÃO INFORMADO,NÃO INFORMADO,8,13/12/2021,13/03/2022,NÃO VIGENTE,0040610072.000008/2023-63
2021,PD&I,IAUPE,NÃO INFORMADO,SMART-STREAM: COLETANDO E ANALISANDO DADOS DE ILUMINAÇÃO PÚBLICA A PARTIR DE UM STREAM DE DADOS,SMARTGREEN DESENVOLVIMENTO DE TECNOLOGIAS S.A,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 118.266,74",JORGE CAVALCANTI BARBOSA FONSÊCA,NÃO INFORMADO,CURITIBA - PR,EXTERNO,2,NÃO INFORMADO,NÃO INFORMADO,2,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,4,20/12/2021,20/12/2022,NÃO VIGENTE,0040610072.000026/2023-45
2021,RESITEC,IAUPE,5,CIÊNCIA DE DADOS,FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA,PRIVADO,INDÚSTRIA AUTOMOTIVA,"R$ 150.000,00",ALEXANDRE MAGNO ANDRADE MACIEL,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,NÃO INFORMADO,NÃO INFORMADO,NÃO VIGENTE,NÃO INFORMADO
2022,PD&I,IAUPE,NÃO INFORMADO,PLATAFORMA INTELIGENTE PARA ASSESSORIA JURÍDICA 3.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 60.000,00",BRUNO JOSÉ TORRES FERNANDES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,1,1,2,1,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,5,17/01/2022,15/04/2022,NÃO VIGENTE,0040610072.000009/2023-16
2022,PD&I,IAUPE,NÃO INFORMADO,SINCRONIZAÇÃO INTELIGENTE DOS CICLOS DA ACIARIA,GERDAU AÇOS LONGOS,PRIVADO,INDÚSTRIA SIDERÚRGICA,"R$ 512.599,30",CLEYTON MÁRIO DE OLIVEIRA RODRIGUES,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,1,NÃO INFORMADO,3,1,NÃO INFORMADO,NÃO INFORMADO,5,10/02/2022,10/08/2022,NÃO VIGENTE,0040610072.000019/2023-43
