Ano,Natureza,Via,TRL,Projeto,Instituição,Setor,Segmento,Receita,Coordenador,Unidade,Cidade,Região,Bolsas de Graduação,Bolsas de Mestrado,Bolsas de Doutorado,Bolsas de Pesquisadores,Bolsas de Coordenador,Bolsas de Nível Médio/Aprendiz,Bolsas de Professores,Total de Bolsas,Vigência,,Vigente,SEI
2019,RESITEC,UPE,NÃO INFORMADO,CLOUD COMPUTING,SUDENE,PÚBLICO,PESQUISA E DESENVOLVIMENTO,"R$ 425.000,00",PAULO HUGO ESPÍRITO SANTO LIMA,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,30/12/2029,30/12/2024,NÃO VIGENTE,0040608325.000117/2023-10
2020,PD&I,IAUPE,NÃO INFORMADO,ACIONAMENTO REMOTO DO SISTEMA PARA AVANÇO DE FERRAMENTA DA ROOT GRINDER,ACE SCHMERSAL ELETROELETRÔNICA INDUSTRIAL LTDA.,PRIVADO,INDÚSTRIA DE ELETRÔNICOS,"R$ 13.986,51",ROGÉRIO PONTES DE ARAÚJO,POLI,BOITUVA - SP,EXTERNO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,NÃO INFORMADO,NÃO INFORMADO,1,08/01/2020,08/03/2020,NÃO VIGENTE,0040610072.000013/2023-76
2020,PD&I,IAUPE,NÃO INFORMADO,PROJETO 2: ANÁLISE DA VIDA ÚLTIL DE MODEMS ÓPTICOS SUBMETIDOS A SURTOS DE ALTA TENSÃO COM E SEM A PROTEÇÃO DE DISPOSITIVO DE PROTEÇÃO CONTRA SURTOS.,"CLAMPER INDÚSTRIA E
COMÉRCIO S.A",PRIVADO,INDÚSTRIA DE ELETRÔNICOS,"R$ 99.775,00",GUSTAVO OLIVEIRA CAVALCANTI,NÃO INFORMADO,LAGOA SANTA - MG,EXTERNO,1,3,NÃO INFORMADO,2,1,NÃO INFORMADO,NÃO INFORMADO,7,01/05/2020,31/05/2021,NÃO VIGENTE,0040610072.000037/2023-25
2020,PD&I,IAUPE,NÃO INFORMADO,QUALYCRIL – FLOWBOARD ONLINE,QUALYCRIL SOLUÇÕES PARA A CONSTRUÇÃO CIVIL LTDA.,PRIVADO,INDÚSTRIA DE MATERIAIS DE CONSTRUÇÃO,"R$ 30.285,71",GILBERTO DÊNIS DE SOUZA LEITE FILHO,POLI,JANDIRA - SP,EXTERNO,1,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,NÃO INFORMADO,NÃO INFORMADO,2,04/05/2020,04/05/2021,NÃO VIGENTE,0040610072.000024/2023-56
2020,PD&I,IAUPE,NÃO INFORMADO,MELHORIA DA QUALIDADE E GESTÃO DE DÍVIDA TÉCNICA EM PROJETOS DE SOFTWARE: POTENCIALIZANDO A COLABORAÇÃO ENTRE INDÚSTRIA E ACADEMIA,COMEIA - CENTRO MULTIDISCIPLINAR DE ESTUDOS EM INFORMÁTICA DO AGRESTE LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 18.148,15",WYLLIAMS BARBOSA SANTOS,POLI,CARUARU - PE,AGRESTE CENTRAL,NÃO INFORMADO,2,NÃO INFORMADO,NÃO INFORMADO,1,NÃO INFORMADO,NÃO INFORMADO,3,03/08/2020,03/02/2021,NÃO VIGENTE,0040610072.000015/2023-65
2020,PD&I,IAUPE,NÃO INFORMADO,SECAGEM DE MINÉRIOS USANDO ENERGIA SOLAR CONCENTRADA,FERNANDO BERLINCK D'UTRA VAZ,PRIVADO,PESQUISA E DESENVOLVIMENTO,"R$ 10.737,50",DIEGO JOSÉ RÁTIVA MILLÁN,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,2,09/2020,11/2020,NÃO VIGENTE,0040610072.000018/2023-07
2020,PD&I,IAUPE,NÃO INFORMADO,SISTEMA DE ANÁLISE E MINERAÇÃO DE SENTENÇAS,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 60.000,00",BRUNO JOSÉ TORRES FERNANDES,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,1,NÃO INFORMADO,2,1,1,NÃO INFORMADO,NÃO INFORMADO,5,15/10/2020,15/01/2021,NÃO VIGENTE,0040610072.000009/2023-16
2020,PD&I,IAUPE,NÃO INFORMADO,DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO DAS VEDAÇÕES VERTICAIS DE EDIFICAÇÃO DE MÚLTIPLOS PAVIMENTOS,RIO AVE ALAMEDA CENTER CONSTRUCOES SPE LTDA,PRIVADO,CONSTRUÇÃO CIVIL,"R$ 18.915,00",ALBERTO CASADO LORDSLEEM JÚNIOR,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,NÃO INFORMADO,NÃO INFORMADO,1,04/11/2020,04/04/2021,NÃO VIGENTE,0040610072.000025/2023-09
2020,PD&I,IAUPE,NÃO INFORMADO,"FASE 1 - PROJETO ""A"": BODYMAKER SMART SYSTEM",BALL BEVERAGE CAN SOUTH AMERICA S.A.,PRIVADO,INDÚSTRIA DE EMBALAGENS,"R$ 158.500,00",JOÃO FAUSTO LORENZATO DE OLIVEIRA,POLI,CABO DE SANTO AGOSTINHO - PE,RMR - NÚCLEO OESTE/SUL,1,NÃO INFORMADO,1,3,1,NÃO INFORMADO,NÃO INFORMADO,6,18/12/2020,18/12/2022,NÃO VIGENTE,0040608325.000043/2022-31
2020,PD&I,IAUPE,NÃO INFORMADO,"FASE 1 - PROJETO ""B"" PLATAFORMA ABERTA DE INTELIGÊNCIA DE MANUFATURA",BALL BEVERAGE CAN SOUTH AMERICA S.A.,PRIVADO,INDÚSTRIA DE EMBALAGENS,"R$ 301.950,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,POLI,CABO DE SANTO AGOSTINHO - PE,RMR - NÚCLEO OESTE/SUL,2,1,NÃO INFORMADO,3,1,NÃO INFORMADO,NÃO INFORMADO,7,18/12/2020,18/12/2022,NÃO VIGENTE,0040608325.000043/2022-31
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,JOÃO FAUSTO LORENZATO DE OLIVEIRA,POLI,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
2020,PD&I,IAUPE,NÃO INFORMADO,CAMPARI - PLATAFORMA ABERTA DE INTELIGÊNCIA DE MANUFATURA,CAMPARI DO BRASIL LTDA.,PRIVADO,INDÚSTRIA DE BEBIDAS ALCOÓLICAS,"R$ 200.000,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,POLI,CABO DE SANTO AGOSTINHO - PE,RMR - NÚCLEO OESTE/SUL,NÃO INFORMADO,NÃO INFORMADO,1,7,2,NÃO INFORMADO,NÃO INFORMADO,10,12/2020,06/2021,NÃO VIGENTE,0040610072.000004/2023-85
2020,RESITEC,IAUPE,NÃO INFORMADO,INTELIGÊNCIA ARTIFICIAL,FUNDAÇÃO PARA INOVAÇÕES TECNOLÓGICAS - FITEC,PÚBLICO,PESQUISA E DESENVOLVIMENTO,"R$ 100.000,00",PAULO HUGO ESPÍRITO SANTO LIMA,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,NÃO INFORMADO,NÃO INFORMADO,NÃO VIGENTE,NÃO INFORMADO
2020,RESITEC,UPE,NÃO INFORMADO,SUDENE - NE 4.0/2020,SUDENE,PÚBLICO,PESQUISA E DESENVOLVIMENTO,"R$ 1.265.980,00",DJALMA SILVA GUIMARÃES JUNIOR,NÃO INFORMADO,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,30/12/2020,30/01/2025,NÃO VIGENTE,0040608325.000016/2023-49
