Processo,Data de deposito,Nome da patente ,Autores,Cliente,Campus UPE,Depositantes,Código ,Status INPI,Territorio,Ultima atualização,Checagem,Unnamed: 12,Categoria_Aba,Pedido,Data,Titulo,Despacho,Status
BR 10 2020 022748 3,2020-11-09,SISTEMA DE LIBERAÇÃO CONTROLADA DE FÁRMACO PARA AÇÃO ANTI-INFLAMATÓRIA,,,,UPE,15.21,"Documentação arquivada e depósito não efetuado tendo em vista falta de cumprimento de exigência formal, conforme Art. 21 da Lei 9279/96 e Art. 5º §3º da Portaria INPI/DIRPA 14/2024",Brasil,2021-04-20,2025-12-18,,Patentes,,,,,
BR 13 2020 017700 0 E2,2020-08-31,FORMULAÇÃO TÓPICA CICATRIZANTE À BASE DE BIOATIVOS DE MICROALGA,ANA LUCIA FIGUEIREDO PORTO (UFRPE) / RAQUEL PEDROSA BEZERRA  (UFRPE) / ALEXSANDRA FRAZAO DE ANDRADE (UFPB) / REBECA GONCALVES DE MELO (UFPE) / POLYANNA NUNES HERCULANO (UFRPE) / VALDEMIRO AMARO DA SILVA JUNIOR / MARIA HELENA MADRUGA LIMA RIBEIRO (UFPE) / JOSE LUIZ DE LIMA FILHO (UFPE) / MICALEYDE SOARES DO EGITO / WILLIANA TORRES VILELA / ROSALI MARIA FERREIRA DA SILVA / PEDRO JOSE ROLIM NETO (UFPE)/ ROMERO MARCOS PEDROSA BRANDAO COSTA (UPE) / DANIELA DE ARAUJO VIANA MARQUES (UPE) ,UFRPE,ICB,UPE,2025-03-04 00:00:00,Desarquivamento - Art. 33 parágrafo único da LPI,Brasil,2023-12-05,2025-12-18,,Patentes,,,,,
BR 20 2020 009354 7,2020-05-12,DISPOSITIVO PORTÁTIL DE BAIXO CUSTO PARA MONITORAMENTO DE SINAIS VITAIS DE PACIENTES E GERAÇÃO DE DADOS EPIDEMIOLÓGICOS,,,,UPE,15.21,"Documentação arquivada e depósito não efetuado tendo em vista falta de cumprimento de exigência formal, conforme Art. 21 da Lei 9279/96 e Art. 5º §3º da Portaria INPI/DIRPA 14/2024",Brasil,2020-09-15,2025-12-18,,Patentes,,,,,
BR 20 2019 022590 0,2019-10-29,EQUIPAMENTO PARA TESTE DE CICLAGEM TÉRMICA DE MATERIAIS ODONTOLÓGICOS,,,FOP,UPE,15.21,"Documentação arquivada e depósito não efetuado tendo em vista falta de cumprimento de exigência formal, conforme Art. 21 da Lei 9279/96 e Art. 5º §3º da Portaria INPI/DIRPA 14/2024",Brasil,2020-06-23,2025-12-18,,Patentes,,,,,
BR 10 2019 022259 0,2019-10-24,ADIÇÃO DO PÓ DE ZIRCÔNIA Y-TZP (ZIRCÔNIA TETRAGONAL ESTABILIZADA COM ÍTRIA - ZrO2(3%Y2O3)) RECICLADA AO POLI(METILMETACRIALTO DE METILA) (PMMA) TERMOATIVADO,,,FOP,UPE,15.21,"Documentação arquivada e depósito não efetuado tendo em vista falta de cumprimento de exigência formal, conforme Art. 21 da Lei 9279/96 e Art. 5º §3º da Portaria INPI/DIRPA 14/2024",Brasil,2020-03-24,2025-12-18,,Patentes,,,,,
BR 10 2018 077212 0 A2,2018-12-27,FORMULAÇÃO TÓPICA EM GEL COM ATIVIDADE CICATRIZANTE CONTENDO EXTRATO DE MICROALGA, ANA LÚCIA FIGUEIREDO PORTO (UFRPE) / RAQUEL PEDROSA BEZERRA  (UFRPE) / ROMERO MARCOS PEDROSA BRANDÃO COSTA (UPE) / DANIELA DE ARAUJO VIANA MARQUES (UPE) / ALEXSANDRA FRAZAO DE ANDRADE (UFPB) / REBECA GONCALVES DE MELO (UFPE) / POLYANNA NUNES HERCULANO (UFPE) / VALDEMIRO AMARO DA SILVA JUNIOR (UFRPE) / MARIA HELENA MADRUGA LIMA RIBEIRO (UFPE) / JOSE LUIZ DE LIMA FILHO (UFPE),UFRPE,ICB,"UPE, UFPE, E UFRPE",9.2.4 Manutenção do Indeferimento - Art. 212 da LPI,MANTIDO O INDEFERIMENTO UMA VEZ QUE NÃO FOI APRESENTADO RECURSO DENTRO DO PRAZO LEGAL.MANTIDO O INDEFERIMENTO UMA VEZ QUE NÃO FOI APRESENTADO RECURSO DENTRO DO PRAZO LEGAL.,Brasil,2024-06-25,2025-12-18,,Patentes,,,,,
BR 10 2018 007976 0,2018-04-20,Equipamento de alarme e monitoramento do nível de ruído em setores de unidades hospitalares,Marco Aurélio de Valois Correia Junior (UPE),UPE,POLI,UPE,15.21,"Documentação arquivada e depósito não efetuado tendo em vista falta de cumprimento de exigência formal, conforme Art. 21 da Lei 9279/96 e Art. 5º §3º da Portaria INPI/DIRPA 14/2024",Brasil,2018-11-13,2025-12-18,,Patentes,,,,,
BR 20 2018 007178 0 U2,2018-04-09,"MÉTODO DE RECICLAGEM DO RESÍDUO DE GESSO BETA PROVENIENTE DA INDÚSTRIA, SOB BAIXO CONSUMO ENERGÉTICO, COM VISTAS À FABRICAÇÃO DE PRÉ-MOLDADOS DE GESSO", CLÓVIS VELOSO DE SANTANA (UPE) / DEBORAH GRASIELLY CIPRIANO DA SILVA (UFPE) / YÊDA VIEIRA PÓVOAS TAVARES (UPE)   ,UPE,POLI,UPE,2025-01-11 00:00:00,Arquivamento definitivo - Artigo 33 da Lei da Propriedade Industrial (LPI),Brasil,2021-10-05,2025-12-18,,Patentes,,,,,
BR 10 2018 006778 8 A2,2018-04-04,BEBIDA VEGETAL PROBIÓTICA ENRIQUECIDA COM FARINHA DE INHAME,MANOEL ADRIAO GOMES FILHO (UFRPE) / ANDREI FELIPE LOUREIRO DO MONTE GUEDES (UFPB) / CINTHIA KARLA RODRIGUES DO MONTE GUEDES (UFPB) / BRUNO DE MELO CARVALHO (UPE),UFRPE,ICB,"UPE, UFRPE E UFPB",2004-02-09 00:00:00,Manutenção do Indeferimento - Art. 212 da LPI,Brasil,2024-11-26,2025-12-18,,Patentes,,,,,
BR 10 2018 002241 5 A2,2018-02-01,OBTENÇÃO E FORMULAÇÕES FARMACÊUTICAS BIOTECNOLÓGICAS BASEADOS EM ARQUITETURAS DENDRÍTICAS DE DERIVADO ESPIRO-ACRIDÍNICO,IANE BEZERRA VASCONCELOS ALVES (UPE)/ MARIA DO CARMO ALVES DE LIMA (UFPE) / JAMERSON FERREIRA DE OLIVEIRA / SEVERINO ALVES JÚNIOR (UFPE) / RICARDO OLIVEIRA DA SILVA (UFPE) / RICARDO OLÍMPIO DE MOURA (UEPB) / SINARA MÔNICA VITALINO DE ALMEIDA (UPE) / ANA ROSA GALDINO BANDEIRA (UFRPE) / CHARLES CHRISTOPHE DU BARRIÈRE MENDES / SANDERSSONILO DE ALBUQUERQUE DOS SANTOS (UFPE),UFRPE,ICB,"UPE, UEPB, UFPE",2025-11-08 00:00:00,Manutenção do Arquivamento,Brasil,2023-03-14,2025-12-18,,Patentes,,,,,
BR 10 2017 013082 7 A2,2017-06-19,DERIVADOS INDÓLICOS-N-ACIL-HIDRAZONAS ANTI-INFLAMATÓRIOS E ANALGÉSICOS,SINARA MÔNICA VITALINO DE ALMEIDA (UPE) / ANA DAURA TRAVASSOS DE OLIVEIRA MORAES (UFPE) / ALICE DA CONCEIÇÃO ALVES DE LIMA (UNICAP) / JOSÉ CLEBERSON SANTOS SOARES (UFPE) / MARIA DO CARMO ALVES DE LIMA (UFPE) / JAMERSON FERREIRA DE OLIVEIRA (UNILAB),UFPE,GARANHUNS,"UFPE, UPE",2025-02-11 00:00:00,"Arquivamento - Artigo 36, parágrafo §1°, da Lei da Propriedade Industrial (LPI)",Brasil,2024-05-07,2025-12-18,,Patentes,,,,,
BR 10 2017 007853 1 A2,2017-04-17,PRÓTESE DE MÃO HIDRÁULICA DE BAIXA MASSA,FRANCISCO GILFRAN ALVES MILFONT (UPE) / LUIS ARTURO GÓMEZ MALAGÓN (UPE),UPE,POLI,UPE,2025-01-11 00:00:00,Arquivamento definitivo - Artigo 33 da Lei da Propriedade Industrial (LPI),Brasil,2020-12-15,2025-12-18,,Patentes,,,,,
BR 10 2017 005445 4 A2,2017-03-17,DERIVADOS INDÓLICOS-TIOSSEMICARBAZONAS ÚTEIS AO TRATAMENTO DA LEISHMANIOSE,MARIA DO CARMO ALVES DE LIMA (UFPE) / JAMERSON FERREIRA DE OLIVEIRA / ANEKÉCIA LAURO DA SILVA (UNIVASF) / LUIZ CARLOS ALVES / FÁBIO ANDRÉ BRAYNER DOS SANTOS (UFPE) / SINARA MÔNICA VITALINO DE ALMEIDA (UPE) / PAULA ROBERTA DA SILVA / KARLA RAÍZA CARDOSO RIBEIRO  / DIOGO CHAVES GAMA AIRES  (UFPE)/ DOUGLAS DA CONCEIÇÃO ALVES DE LIMA (UNIVASF),UFPE,GARANHUNS,"UPE, UFPE, UNIVASF",2025-11-08 00:00:00,Manutenção do Arquivamento,Brasil,2023-05-02,2025-12-18,,Patentes,,,,,
BR 10 2015 016427 0 A8,2015-07-08,"PROCESSO DE OBTENÇÃO E COMPOSIÇÕES FARMACÊUTICAS DE DERIVADOS 3-(ACRIDIN-9-IL)-N-BENZILIDENO-2-CIANOACRILOHIDRAZIDAS E PRODUTOS DESSAS COMPOSIÇÕES E USO COMO ANTITUMORAL, LEISHMANICIDA, ANTIMALÁRICO E ANTICHAGÁSICO", MARIA DO CARMO ALVES DE LIMA  (UFPE) / RICARDO OLIMPIO DE MOURA (UFPB) / FRANCISCO JAIME BEZERRA MENDONÇA JUNIOR (UFPE) / LUIZ BEZERRA DE CARVALHO JUNIOR / JOÃO ERNESTO DE CARVALHHO (FAPESP)/ ANA LÚCIA TASCA GÓIS RUIZ (fFAPESP)/ SINARA MÔNICA VITALINO DE ALMEIDA (UPE)/ ROSALI MARIA FERREIRA DA SILVA (UFPE) / MARIANNA VIERIA SOBRAL / ANEKÉCIA LAURO DA SILVA (UNIVASF)/ TATIANNE MOTA BATISTA / VANESSA LIMA SERIFIM (UFPB),UFPE,GARANHUNS,"UEPB, FAPESP, UPE, UFPE, UFPB",9.24,Manutenção do Indeferimento - Art. 212 da LPI,Brasil,2023-07-04,2025-12-18,,Patentes,,,,,
BR 10 2014 016827 3 A2,2014-07-08,SÍNTESE DE NOVOS DERIVADOS 3-(ACRIDIN-9-IL)-N-BENZILIDENO-2-CIANOACRILOHIDRAZIDAS PARA O TRATAMENTO DO CÂNCER,ANA LÚCIA TASCA GOIS RUIZ (FAPESP)/ FRANCISCO JAIME BEZERRA MENDONÇA JUNIOR (UFPE) / MARIA DO CARMO ALVES DE LIMA (UFPE) / RICARDO OLIMPIO DE MOURA (UEPB) / LUIZ BEZERRA DE CARVALHO JUNIOR (FAPESP) / JOAO ERNESTO DE CARVALHO (FAPESP) / SINARA MÔNICA VITALINO DE ALMEIDA (UPE) / ROSALI MARIA FERREIRA DA SILVA (UFPE)/ MARIANNA VIEIRA SOBRAL (UFPB) / ANEKÉCIA LAURO DA SILVA (UNIVASF) / TATIANE MOTA BATISTA (UFPB)/ VANESSA DE LIMA SERIFIM,UFPE,GARANHUNS,"UEPB, FAPESP, UPE, UFPE, UFPB",2025-06-03 00:00:00,Publicação do Pedido Arquivado Definitivamente,Brasil,2018-07-31,2025-12-18,,Patentes,,,,,
,,,JOÃO PACIFICO BEZERRA NETO (UPE); MATHEUS AZEVEDO BOMFIM (UPE); PATRICIA MUNIZ MENDES FREIRE DE MOURA  (UPE); JOSÉ ANCHIETA DE BRITO (UPE); PAULA MACHADO RIBEIRO MAGALHÃES (UPE),UPE,"Petrolina, ICB, FOP, HUOC",,,,,,,,Registro de software,BR512025003608-6,2025-07-31,ProgHAM,730.0,Expedição do Certificado de Registro
,,,BYRON LEITE DANTAS BEZERRA (UPE); ARTHUR FLOR DE SOUSA NETO (UPE),UPE,Poli,,,,,,,,Registro de software,BR512025003604-3,2025-07-31,HTRS-Pollen,730.0,Expedição do Certificado de Registro
,,,VICTOR RIBEIRO NEVES (UPE); CARMELO JOSÉ ALBANEZ BASTOS FILHO (UPE); RAFAEL BÉRGAMO BARRETO DE HOLANDA (UPE); RAPHAEL B. ALENCAR (UPE); RENAN COSTA ALENCAR (UPE),UPE,"Petrolina, Poli",,,,,,,,Registro de software,BR 51 2025 002815 6,2025-06-27,VitalCheck,730.0,Expedição do Certificado de Registro
,,,BYRON LEITE DANTAS BEZERRA (UPE); ANTONIO VICTOR ALENCAR LUNDGREN (UPE); CARMELO JOSÉ ALBANEZ BASTOS FILHO (UPE),UPE,Poli,,,,,,,,Registro de software,BR 51 2025 002551 3,2025-06-12,VisualSAF,730.0,Expedição do Certificado de Registro
,,,CARLO MARCELO REVOREDO DA SILVA (UPE); JOÃO FAUSTO LORENZATO DE OLIVEIRA (UPE); RICARDO ATAÍDE DE LIMA (UPE),UPE,Poli,,,,,,,,Registro de software,BR 51 2025 001671 9,2025-04-25,PowerPc-CodeReader,730.0,Expedição do Certificado de Registro
,,,MÁRCIA REJANE OLIVEIRA BARROS CARVALHO MACEDO; JOSÉ ALBERTO OLIVEIRA MOURA FILHO; JÚLIA CARDOSO DE MATOS; ANA LUIZA OLIVEIRA MACEDO; GABRIELA CARDOSO DE MATOS; LEONARDO FERREIRA MARINHO,UPE,Poli,,,,,,,,Registro de software,BR 51 2025 001666 2,2025-04-25,RECICLA CABROBÓ,730.0,Expedição do Certificado de Registro
,,,ALEXANDRE MAGNO ANDRADE MACIEL; ANA CATARINA GOMES DA FONSECA PEREIRA; GABRIEL MAC?HAMILTON RENAUX ALVES; ROBERTO SÁ BARRETO PAIVA DA CUNHA,UPE,Poli,,,,,,,,Registro de software,BR 51 2025 000304 8,2025-01-27,FMD - Framework de Mineração de Dados,730.0,Expedição do Certificado de Registro
,,,ANA LUIZA OLIVEIRA MACEDO / GABRIELA CARDOSO DE MATOS / JOSÉ ALBERTO OLIVEIRA MOURA FILHO (UPE) / JÚLIA CARDOSO DE MATOS (UFPE) / LEONARDO FERREIRA MARINHO / MÁRCIA REJANE OLIVEIRA BARROS CARVALHO MACEDO (UPE),UPE,Poli,,,,,,,,Registro de software,BR 51 2024 001042 4,2024-04-02,CABROBÓ NA PALMA DA MÃO,730.0,Expedição do Certificado de Registro
,,,ALISSON DE LIMA ALBUQUERQUE / ANDERSON FERNANDES DE ALENCAR (FAPESP) / CLEYTON MÁRIO DE OLIVEIRA RODRIGUES (UPE) / IGOR MEDEIROS VANDERLEI (UFAPE) / JEAN CARLOS TEIXEIRA DE ARAUJO (UFRPE) / MARIEL JOSÉ PIMENTEL DE ANDRADE (UFRPE) / MATHEUS MACHADO VIEIRA (UFPR) / NATHANAEL CARAUNA SILVEIRA DA MOTTA (UPE) / RODRIGO GUSMÃO DE CARVALHO ROCHA (UFPE),UPE,Poli,,,,,,,,Registro de software,BR 51 2022 003517 0,2022-12-19,SOS Enade 2.0,730.0,Expedição do Certificado de Registro
,,,CAROLINA DA CUNHA CORREIA (UPE) / PEDRO NOGUEIRA FONTANA (UPE) / RIDEILDO DA SILVA FARIAS,UPE,HUOC,,,,,,,,Registro de software,BR 51 2022 002049 1,2022-08-01,Sistema para tomada de decisão na Prevenção Secundária do Acidente Vascular Cerebral,730.0,Expedição do Certificado de Registro
