Processo,Data de deposito,Nome da patente ,Autores,Cliente,Campus UPE,Depositantes,Código ,Status INPI,Territorio,Ultima atualização,Checagem,Unnamed: 12,Categoria_Aba,Pedido,Data,Titulo,Despacho,Status
BR 10 2023 018993 8,2023-09-18,SÍNTESE DE NOVO SCAFFOLD DE MEMBRANA 3D DE NANOCELULOSE BACTERIANA PARA CULTIVO DE CÉLULAS TRONCO MESENQUIMAIS,MARLENY ELIZABETH MÁRQUEZ DE MARTINEZ GERBI (UPE) / SEVERINO ALVES JUNIOR (UFPE) / ELOIZA LEONARDO DE MELO (UPE)/ JÉSSICA MEIRINHOS MIRANDA (UPE) / CAIO DE LIMA PIRES (UPE)/ SUZANNE IVILA SANTOS DA ROCHA  (UPE)/ NATHALIA SEIMI DEAMA (UPE) / MARCIA BEZERRA DA SILVA / LARA MARQUES MAGALHÃES MORE (UPE),UPE,FOP,UPE,2025-01-03 00:00:00,Pedido de Patente ou de Certificado de Adição de Invenção Publicado,Brasil,2025-09-23,2025-12-18,,Patentes,,,,,
BR 10 2023 017743 3,2023-09-01,,,UPE,,UPE,15.21,"Documentação arquivada e depósito não efetuado tendo em vista falta de cumprimento de exigência formal, conforme Art. 21 da Lei 9279/96 e Art. 5º §3º da Portaria INPI/DIRPA 14/2024",Brasil,2023-09-01,2025-12-18,,Patentes,,,,,
BR 10 2023 017441 8 A2,2023-08-29,COMPOSTO BACTERICIDA PREPARADO EM GEL ENRIQUECIDO COM NANOPARTÍCULAS DE PRATA DE ORIGEM MICROBIANA,KETHYLEN BARBARA BARBOSA CARDOSO (UFPE) / ANA LUCIA FIGUEIREDO PORTO (UFRPE) / ROMERO MARCOS PEDROSA BRANDAO COSTA (UPE) / JUANIZE MATIAS DA SILVA BATISTA (UFRPE) / THIAGO PAJEU NASCIMENTO (UFPI) / MICHELINE THAIS DOS SANTOS (UFRPE) / MARLLYN MARQUES DA SILVA / BEATE SAEGESSER SANTOS (UFPE) / MARQUES LEONEL RODRIGUES DA SILVA,UFRPE,ICB,"UPE, UFPE, UFRPE, UFPI",2025-01-03 00:00:00,Pedido de Patente ou de Certificado de Adição de Invenção Publicado,Brasil,2025-03-06,2025-12-18,,Patentes,,,,,
BR 10 2023 016980 5 A2,2023-08-23,BIOFILME CICATRIZANTE FORMULADO À BASE DE UM BLEND POLISSACARÍDICO ASSOCIADO À NANOPARTÍCULAS DE PRATA COM HIDROLISADO DE COLÁGENO, RAQUEL PEDROSA BEZERRA / KETHYLEN BARBARA BARBOSA CARDOSO (UFPE) / ANA LUCIA FIGUEIREDO PORTO (UFRPE) / ROMERO MARCOS PEDROSA BRANDAO  COSTA  (UPE) / VIVIANNE FERREIRA ARAUJO BRANDAO / JUANIZE MATIAS DA SILVA BATISTA (UFRPE) / THIAGO PAJEU NASCIMENTO (UFPI) / DANIELA DE ARAUJO VIANA MARQUES (UPE) / ROMUALDO BRANDAO COSTA JUNIOR (UFROE) / KETURA RHAMMA CAVALCANTE FERREIRA (UFPE) / RAPHAEL LUIZ ANDRADE SILVA (UFRPE) / MARIA ERCILIA DE LIMA BARREIRO,UFPE,ICB,"UPE, UFPE, UFRPE, UFPI",2025-01-03 00:00:00,Pedido de Patente ou de Certificado de Adição de Invenção Publicado,Brasil,2025-03-06,2025-12-18,,Patentes,,,,,
BR 20 2023 016925 8,2023-08-23,EQUIPAMENTO DE ALARME E MONITORAMENTO DO NÍVEL DE RUÍDO EM SETORES DE UNIDADES HOSPITALARES,Marco Aurélio de Valois Correia Junior (UPE),UPE,POLI,UPE,15.21,"Documentação arquivada e depósito não efetuado tendo em vista falta de cumprimento de exigência formal, conforme Art. 21 da Lei 9279/96 e Art. 5º §3º da Portaria INPI/DIRPA 14/2024",Brasil,2023-12-05,2025-12-18,,Patentes,,,,,
BR 10 2023 016741 1,2023-08-21,SÍNTESE DE UM CURATIVO BIOADESIVO COM EFICÁCIA ANTIBACTERIANA SOBRE O STREPTOCCOCUS MUTANS,"MARLENY ELIZABETH MÁRQUEZ DE MARTINEZ GERBI (UPE), ALISON MENDES SILVA DE MELO (UPE), SEVERINO ALVES JUNIOR (UFPE), ELOIZA LEONARDO DE MELO (UPE), JÉSSICA MEIRINHOS MIRANDA (UPE), CLÁUDIO PAULO PEREIRA DE ASSIS (UPE), CAIO DE LIMA PIRES (UPE), SUZANE IVILA SANTOS DA ROCHA (UPE), NATHALIA SEIMI DEAMA (UPE)",UPE,FOP,"UPE, Marleny Gerbi",15.21,"Documentação arquivada e depósito não efetuado tendo em vista falta de cumprimento de exigência formal, conforme Art. 21 da Lei 9279/96 e Art. 5º §3º da Portaria INPI/DIRPA 14/2024",Brasil,2023-11-28,2025-12-18,,Patentes,,,,,
BR 10 2023 016503 6,2023-08-16,,,UPE,POLI,MK DIGITAL LTDA / FUNDAÇÃO UNIVERSIDADE DE PERNAMBUCO - UPE / GILBERTO DENIS DE SOUZA LEITE FILHO / JOÃO FAUSTO LORENZATO DE OLIVEIRA (BR/PE) / ALDONSO MARTINS DE OLIVEIRA JUNIOR ) / ALEXANDRE MAGNO ANDRADE MACIEL / DIEGO JOSÉ RÁTIVA MILLÁN ,15.21,"Documentação arquivada e depósito não efetuado tendo em vista falta de cumprimento de exigência formal, conforme Art. 21 da Lei 9279/96 e Art. 5º §3º da Portaria INPI/DIRPA 14/2024",Brasil,2024-05-07,2025-12-18,,Patentes,,,,,
BR 10 2023 012242 6 A2,2023-06-20,COMPOSIÇÃO À BASE DE EXTRATO AQUOSO DE MICROALGA PARA O TRATAMENTO DE LEISHMANIOSE E USOS,RAQUEL PEDROSA BEZERRA / ANA LUCIA FIGUEIREDO PORTO / ROMERO MARCOS PEDROSA BRANDAO COSTA / DANIELA DE ARAUJO VIANA MARQUES / ALEXSANDRA FRAZAO DE ANDRADE / DAYANE RODRIGUES DA SILVA / MILLENA PATRICIO DO NASCIMENTO FERREIRA / SABRINA SWAN SOUZA DA SILVA / MILENA DE PAIVA CAVALCANTI / MARIA GABRIELLA NUNES DE MELO / JADY MOREIRA DA SILVA / VIRGINIA MARIA BARROS DE LORENA,UPE,ICB,UPE E UFRPE,2025-01-03 00:00:00,Pedido de Patente ou de Certificado de Adição de Invenção Publicado,Brasil,2024-12-31,2025-12-18,*,Patentes,,,,,
BR 10 2023 004813 7,2023-03-15,,,UPE,,,15.21,Pedido com Numeração Anulada tendo em vista falta de cumprimento de exigência formal,Brasil,2023-06-20,2025-12-18,,Patentes,,,,,
BR 10 2022 026983 1 A2,2022-12-19,PROCESSO DE ELABORAÇÃO E USO DE BIORREATOR SUSTENTÁVEL PARA FERMENTAÇÃO EM ESTADO SÓLIDO,ROMERO MARCOS PEDROSA BRANDÃO COSTA (UPE) / RAQUEL PEDROSA BEZERRA (UFRPE) / ANA LUCIA FIGUEIREDO PORTO (UFRPE) / KETHYLEN BARBARA BARBOSA CARDOSO (UFPE) / JUANIZE MATIAS DA SILVA BATISTA (UFRPE)/ NAIRANE DA SILVA ROSA LEAO (UFRN) / LUAN NILTON DA SILVA / KETURA RHAMMA CAVALCANTE FERREIRA (UFPE) / THIAGO PAJEU NASCIMENTO (UFPI) / NILSON FERNANDO BARBOSA DA SILVA,UFRPE,ICB,UPE e UFRPE,2025-01-03 00:00:00,Pedido de Patente ou de Certificado de Adição de Invenção Publicado,Brasil,2024-07-09,2025-12-18,,Patentes,,,,,
